year,city,GDP,人均地区生产总值(元),population,job_count_last,job_count,gr,job_gr,city_new_comp_cnt,year_last,city_new_comp_cnt_last,yoy_gr,city_name,city_idx
2019,呼伦贝尔,11930000.0,47116.0,255.0,32.205,29.653,-7.9242353671790084,-4.131813175363931,23520,2019,29752,9.081576535288725,呼伦贝尔,32
2020,呼伦贝尔,11720000.0,45923.0,252.5,29.653,26.649,-10.130509560584082,-7.9242353671790084,26403,2020,23520,-20.946490992202204,呼伦贝尔,32
2021,呼伦贝尔,13550000.0,60887.0,250.0,26.649,26.221,-1.6060640174115384,-10.130509560584082,25242,2021,26403,12.25765306122449,呼伦贝尔,32
2019,呼和浩特,27910000.0,89138.0,249.0,44.863,43.79,-2.3917259211376867,6.646540043264315,40163,2019,45355,1.8618335354624265,呼和浩特,26
2020,呼和浩特,28010000.0,81656.0,252.0,43.79,47.426,8.303265585750177,-2.3917259211376867,47703,2020,40163,-11.447469959210672,呼和浩特,26
2021,呼和浩特,31210000.0,89828.0,255.0,47.426,46.191,-2.604056846455529,8.303265585750177,36381,2021,47703,18.773497995667654,呼和浩特,26
2019,咸宁,15950000.0,62650.0,305.0,21.04,20.255,-3.730988593155894,2.3545436855419255,24293,2019,29500,4.997152619589977,咸宁,170
2020,咸宁,15250000.0,58319.0,304.5,20.255,20.559,1.500863984201442,-3.730988593155894,42108,2020,24293,-17.65084745762712,咸宁,170
2021,咸宁,17520000.0,66194.0,304.0,20.559,21.817,6.1189746583004965,1.500863984201442,67466,2021,42108,73.33388218828469,咸宁,170
2019,咸阳,21950000.0,50338.0,458.0,42.772,45.437,6.230711680538668,-7.0436615739030275,61295,2019,59257,10.405798181547175,咸阳,268
2020,咸阳,22050000.0,55189.0,456.5,45.437,45.211,-0.4973919933094154,6.230711680538668,64234,2020,61295,3.4392561216396373,咸阳,268
2021,咸阳,25810000.0,61002.0,455.0,45.211,44.627,-1.2917210413394884,-0.4973919933094154,71168,2021,64234,4.794844603964434,咸阳,268
2019,哈密,6050000.0,98148.0,56.0,15.88,9.821,-38.15491183879094,8.588621444201314,8215,2019,7696,13.527068889216698,哈密,296
2020,哈密,6080000.0,103153.0,56.0,9.821,9.692,-1.3135118623358066,-38.15491183879094,9134,2020,8215,6.743762993762993,哈密,296
2021,哈密,7270000.0,108157.0,56.0,9.692,9.563,-1.330994634750305,-1.3135118623358066,7612,2021,9134,11.18685331710286,哈密,296
2019,哈尔滨,52490000.0,55175.0,951.0,104.665,107.052,2.2806095638465584,-13.49142063675736,88587,2019,100963,0.6158752304549305,哈尔滨,57
2020,哈尔滨,51840000.0,54570.0,947.0,107.052,97.096,-9.300153196577368,2.2806095638465584,123565,2020,88587,-12.257955884829096,哈尔滨,57
